mutual,tweet1,type1,tweet2,type2,tweet3,type3,tweet4,type4,tweet5,type5,tweet6,type6,tweet7,type7,tweet8,type8,tweet9,type9,tweet10,type10,rated,p1,c1,p2,c2,p3,c3,p4,c4,p5,c5
Oneiorosgrip,"@jaketapper As a libertarian, I can't decide who is worse. The Republicans who are blindly following the Orange Man and justifying his comments &amp; actions or The Democrats who ignore the stupid comments &amp; actions of members of their own party by claiming that they're not as bad as Trump.🤣",reply,"Looking into it is one thing. How many challenges has Trump actually won? If the GOP doesn't vote in January as some kind of protest, there will be 2 more Democratic senators voted in. And a 50-50 deadlock in the Senate is broken by VP Harris. Not voting is bad strategy.",tweet,"Desantis. Not even close. I don't think Trump is electable, for one. If he wasn't able to win as an incumbent against Biden, he isn't going to win in 2024. He's also just too divisive at this point. He won't get anything done, short of enacting executive orders.",reply,"I would hope that Republicans and Democrats are also anti-violence, so I'm not sure what your point is? Libertarians are about self-reliance, though. Owning a firearm for self-defense is part of self-reliance, especially now after you've got dems calling for defunding police.🙄",tweet,"This isn't a new thing. 🙄 H. Clinton was elected senator after only being MARRIED to a president for 8 years. Obama was elected president after being a JUNIOR senator in Illinois for less than 1 term. Trump was elected after only being a PT businessman &amp; reality TV ""star.""",reply,"Yep. Even if you recognize the craziness and instability of the Trump years, it's still ok to be unhappy with the way our country is currently being governed.🙄 Biden is obviously cognitively impaired and the Dems are spending our country's money like it's monopoly money.",reply,"@KamalaHarris Nope. I didn't vote for Trump either time. I voted 3rd party. I'm not a fan of Trump, Clinton or Biden. But that's obviously your go-to defense - ""But Trump did something that was far worse."" Trump has nothing to do with Kamala being an actual political whore. Both are awful.",reply,"Dear God, anyone is better than Trump. I still can't believe that he was elected in 2016. I voted 3rd party in the last 2 pres elections, because I just couldn't convince myself to vote for either of the major 2 candidates. The U.S. is just a hot mess right now...",reply,"I'm sure that as much as he hates Trump, Romney realizes that his support will evaporate among his Mormon constituency in Utah if he opposes installing another conservative justice prior to the election. It's not exactly complicated...",reply,"This! I can't believe the number of people who rip on all of the people who supported Trump (not without merit) and then completely ignore the fact that they themselves voted for Biden. Come on. We replaced a narcissistic reality TV ""star"" with a cognitively disabled old man.🤣",reply,0,,,,,,,,,,
PESTRiCA,"We can't contain the excitement for 's first full-color images! On Monday, July 11 at 5pm ET (21:00 UTC), President Biden will unveil one of the space telescope's first images of deep space as a preview of what's ahead:",retweet,"Not feeling well today. _(:3」∠)_ Oil change tomorrow (already sent off my vote, so no worries about that. ha.). Was going to get takeaway, but realized they're closed. Then more driving &amp; doing as the week goes on. &amp;... maybe grocery pick up? Not sure.",tweet,"As we hurtle towards the end of Early 2022, a quick Playdate update: Group One's batch of brand new shiny Playdates are on their way to our fulfillment center in California as we speak!! They'll still need to be processed (and gradually shipped) but… it's almost time!",retweet,"While we didn’t vend at MFF, our team WAS there to have some fun. Current status is: crying in our hotel room after seeing.. SO much of what we do, proudly displayed on your beautiful figures. Walking the halls and seeing every 7th person wearing us is just.. it’s overwhelming.",retweet,"Oh man, this slow cooker mac &amp; cheese &amp; meat is just ~too cheesy~ &amp; bland. (but, a lot of them are.) Have to mess with this if I want to do it again, I guess. :d But, it's also pretty easy to just make a roux to white sauce &amp; put cheese in it either. ha.",tweet,"Hello, all! We were able to move the database successfully and everything should be running along smoothly now! There was a period of time where the site was up but the databases were still in a state of crossover, so there were some hiccups with quests and items at the time. 1/n",retweet,Did get the PS5 hooked up &amp; may try playing something in a bit. Happy to have it &amp; happy it worked &amp; wasn't a box of wood. (should probably gulp down some anti-nausea pills. ha.),reply,"Really, I don't know if there are other ending to get, but the way the game mechanics work, I could at least have a different path to the end, I think. And I could bring other people along too? hm. Maybe I'll try choosing all of the idiot responses? Or be more cocky? haha.",reply,"Also groceries. Should have went day 1 but look at the deals! Cheap beyond &amp; a $1 pizza (with part of a bag of $2 Miyoko's). Should have let it melt a bit more, but I was hungry. Not bad, even though I had to cook it in foil (as I didn't want the possibility of cleaning an oven)",reply,GODZILLA WAS A JURASSIC CREATURE THAT EVOLVED FROM A SEA REPTILE INTO A TERRESTRIAL MONSTER AWAKENED BY MANKIND'S NUCLEAR WEAPONS TESTS. OVER TIME GODZILLA ITSELF HAS EVOLVED AND ITS FELLOW KAIJU MONSTERS HAVE COME TO EMBODY THE EMOTIONS AND SOCIAL PROBLEMS OF OUR TIMES!,retweet,0,,,,,,,,,,
PESTRiCA_R,"We can't contain the excitement for 's first full-color images! On Monday, July 11 at 5pm ET (21:00 UTC), President Biden will unveil one of the space telescope's first images of deep space as a preview of what's ahead:",retweet,"Not feeling well today. _(:3」∠)_ Oil change tomorrow (already sent off my vote, so no worries about that. ha.). Was going to get takeaway, but realized they're closed. Then more driving &amp; doing as the week goes on. &amp;... maybe grocery pick up? Not sure.",tweet,"As we hurtle towards the end of Early 2022, a quick Playdate update: Group One's batch of brand new shiny Playdates are on their way to our fulfillment center in California as we speak!! They'll still need to be processed (and gradually shipped) but… it's almost time!",retweet,"While we didn’t vend at MFF, our team WAS there to have some fun. Current status is: crying in our hotel room after seeing.. SO much of what we do, proudly displayed on your beautiful figures. Walking the halls and seeing every 7th person wearing us is just.. it’s overwhelming.",retweet,"Oh man, this slow cooker mac &amp; cheese &amp; meat is just ~too cheesy~ &amp; bland. (but, a lot of them are.) Have to mess with this if I want to do it again, I guess. :d But, it's also pretty easy to just make a roux to white sauce &amp; put cheese in it either. ha.",tweet,"Hello, all! We were able to move the database successfully and everything should be running along smoothly now! There was a period of time where the site was up but the databases were still in a state of crossover, so there were some hiccups with quests and items at the time. 1/n",retweet,Did get the PS5 hooked up &amp; may try playing something in a bit. Happy to have it &amp; happy it worked &amp; wasn't a box of wood. (should probably gulp down some anti-nausea pills. ha.),reply,"Really, I don't know if there are other ending to get, but the way the game mechanics work, I could at least have a different path to the end, I think. And I could bring other people along too? hm. Maybe I'll try choosing all of the idiot responses? Or be more cocky? haha.",reply,"Also groceries. Should have went day 1 but look at the deals! Cheap beyond &amp; a $1 pizza (with part of a bag of $2 Miyoko's). Should have let it melt a bit more, but I was hungry. Not bad, even though I had to cook it in foil (as I didn't want the possibility of cleaning an oven)",reply,GODZILLA WAS A JURASSIC CREATURE THAT EVOLVED FROM A SEA REPTILE INTO A TERRESTRIAL MONSTER AWAKENED BY MANKIND'S NUCLEAR WEAPONS TESTS. OVER TIME GODZILLA ITSELF HAS EVOLVED AND ITS FELLOW KAIJU MONSTERS HAVE COME TO EMBODY THE EMOTIONS AND SOCIAL PROBLEMS OF OUR TIMES!,retweet,0,,,,,,,,,,
PamHarbinPGH,"If we beat Trump and flip the Senate, we can: -End the filibuster. -Make D.C. a state. -Pass public financing. -Restore the Voting Rights Act. -Require presidential tax disclosure. -Make Election Day a federal holiday. Reclaim our democracy. 🇺🇸",retweet,I’m going to ask this question and I want a Bernie supporter who is not going to vote for Joe Biden to answer it: why don’t you guys spend as much time railing against Donald Trump as you do centrist Democrats? I’m dead serious. Why. He’s the most horrible thing ever. Answer.,retweet,"RETWEET if you agree that American media has an absolute journalistic obligation not to repeat or report on COVID-19 disinformation spread by Trump to influence early voting and the election, including and most particularly false claims regarding when a vaccine will be available.",retweet,"Barr said: ""The problem with the testing system was a function of Obama's mishandling of the CDC."" Trump ELIMINATED the virus task force Obama created. Trump CALLED COVID A HOAX and said it would ""disappear like magic in a few days."" Since then, 140,000 Americans have died.",retweet,"DOW drops 2000 points in one week. The stimulus is wearin' off and the #TrumpRecession is in full bloom. Trump's COVID ""strategy"" is killin' Americans and our economy.",retweet,"With this move, Republican senators have stopped merely being enablers when Trump seeks foreign help to win elections. They’ve become accomplices.",retweet,"Insider says Kushner is now in charge of planning last ditch try at disqualifying Biden ballots on election night, urging Republican state legislatures to ""send competing slates of electors,"" and then seeking a Supreme Court ruling in Trump's favor. Barr is said to support this.",retweet,"Joe Biden kicked ass. The country knows we need capable public servants w a plan to use our tax dollars &amp; their power for the people 5 states moved to Dems: PA, MI, WI, AZ, GA 78M people defeated Republicans but we only get the change if we boot Mitch",retweet,"BREAKING: WH official says masks will continue to not be mandatory at the WH, even after Trump tested positive. Saying it’s a “personal choice.” They won’t even try to protect themselves, they definitely can’t protect us. We need new leadership. Vote for Biden-Harris.",retweet,"I complained about the way @nbc erased @ewarren throughout the primary, particularly after she took the national lead in October. Erased! And now folks are pissed that they’re giving Trump his own town hall during Biden’s event. After Trump refused to debate. NBC is just awful.",retweet,0,,,,,,,,,,
PaulIngrassia,"Take a civics class. DeSantis has a republican legislature. Trump was fighting democrats and republicans in congress AND the senate. But while DeSantis was in congress and in DC, he voted against the wall twice and voted for TPP. He did a lot, I'd say🤣",reply,"How is stating a fact chasing anyone? You're aware Kansas has NEVER elected a democrat Governor while a Dem was President, right? Guess what? They just did in November. The same state that voted against their abortion referendum. Yes, it matters.",reply,"K Abrams was about 1,000x worse than Biden and people know Biden can't pass most things without the house and senate lol. These aren't comparable. I'll ""show up"" on election day and vote down ticket Republican and write in someone for President. Just like neocons did with Trump.",reply,"He's a weak candidate because of his Congressional record. He will not win AZ considering his stance on social security He won't win PA because he's anti fracking and a climate changer Also, is he like Trump or is he not? Because if he is, why would independents vote for him?",reply,? They haven't even liked each other since 2020 when Massie voted against the stimulus package while Trump was worried about winning elections.,reply,"No, but these people (not REP) are delusional. Democrats overwhelmingly vote for their candidate no matter what. Republicans have an identity crisis between America First candidates and squishy Republicans, which unfortunately leads to MAGA voters and/or moderates not voting.",reply,"Lol, every single thing you named was voted on by congress and the senate EXCEPT infrastructure because democrats refused to bring it to a vote under Trump. So thank you for admitting it's congressmen and senators that suck, which we've been saying for years.",reply,"Trump will be the last GOP candidate I ever vote for until they get their shit together. The GOP has done nothing the past two years except ignore their voters and help democrats pass red flag laws, climate change bs, billions to ukraine, and now talking about amnesty.",reply,"Laura's not in DC first of all.. Secondly, what have you got out of voting republican lately? Codifying gay marriage? Spending billions to ukraine? Passing gun legislation? Approving their climate change bs? Approving Bidens Supreme Court justice?",reply,"I know McConnell is the Senate, but thank God he continues to show us how fucking useless voting for the GOP is. This party is beyond dead without Trump.",reply,0,,,,,,,,,,
PaytonAugustine,“The biggest thing I don’t understand about Trump is that he is REALLY rich... he could really do something about his hair.” -mom 😂😂,tweet,"Thinking of your family and the safety of your father! There are 800,000 police officers in America, I know they aren’t all bad❤️ of course outraged about George Floyd as well but not generalizing police officers just as we do not generalize races.",reply,"Mrs. Clinton, I have news for you: I am a woman, and I am not voting for you.",retweet,Exactly! You turn them into republican husbands.😘,retweet,id much rather stay inside and talk to no one but i have the fear of missing out on every social interaction i'm an introvert gone wild,retweet,If women ruled the world there would be no wars. Just a bunch of angry countries not talking to each other.,retweet,"A massive congratulations to , voted winner of British Single by the UK public. Thanks to everyone who voted! #britawards",retweet,RETWEET for a chance to win an autographed Tim Anderson bat. Vote now through 1:00 p.m. CT tomorrow to make sure Tim Anderson is a starter for the MLB All-Star Game!,retweet,If I’ve said it once I’ve said it a million times. We should hold all results till midnight and release the states 1 by 1 in alphabetical order in the most dramatic way possible. Electric city.,retweet,I hope they do a tour! And yeah they will never forget their home :) but America is also a big deal in the music industru,reply,0,,,,,,,,,,
PhDVoice,UCI’s grad student government has been trying to email grad students FOR WEEKS about their right to strike. Admin blocked those emails. They also blocked an email of support from the undergrad student government. Their reason? The content is “political.” It gets worse.,retweet,Why I'm voting No - a thread. TLDR: this contract does not solve most of the problems that brought us out on the picket line in the first place.,tweet,"#USA joins long list of countries that prioritizing #BuildBackBetter in male-dominated sectors &amp; ignoring sectors like health, education &amp; care-work, which are women-dominant. I'm not the only person making this point, but I do have a primer in @WPReview.",retweet,"I'm presenting an iPoster on 9/30 from 11-11:30am PDT entitled ""Negotiating Women's Representation"" on the effects of local women's active participation in peace negotiations on women's political representation in post-conflict states.",reply,"Literally every person I meet: What are you studying? Me: Political science Them: So, whaddya think about this Afghanistan mess? Me:",tweet,"When UC makes it impossibly expensive to be a scientist &amp; live in CA - low wages, no childcare, no housing - it forces out everyone who lacks family money (especially Black/Latine ppl, bc racism). It imposes a poll tax on going into science. And that makes our science worse. 6/",retweet,"If you are a political scientist and think it is an outrage that the Claremont Institute has invited coup architect John Eastman to the APSA annual meeting, please read and consider signing this open letter to the APSA Council: #APSA2021",retweet,"We hear that President Drake - who earns $1m and lives in a house worth $6.5m - will announce that those on strike, including faculty, will have pay docked for demanding that everybody should be able to afford to go to graduate school. That's why we need #FairUCNow",retweet,"But regardless of how you vote, we hope there’s one thing you can take away from this strike: Screw the UC and screw the neoliberal capitalist, racist, ableist, heterosexist, nationalist model of education. Regardless of the contract vote outcome, this fight isn’t over.",retweet,"Respectfully, I will be voting no on this TA. Here’s why: All things being equal, we should ratify a contract based on whether it meets our needs, or we believe that we can’t build the power necessary to win more. Neither of these conditions have been satisfied in my view.",retweet,0,,,,,,,,,,
PurpleReignEra,Senator Dino Melaye of the Peoples Democratic Party(PDP) raises his concerns over alleged inconsistencies in the number of votes and overvoting in Ekiti state #NigeriaDecide2023 #ElectionDay #2023Verdict #CTVTweets,retweet,"""We are Nigerians and must defend our rights': PDP agent Senator Dino Melaye rages at the INEC National Election Results Collation Centre in Abuja. #ElectionResults #NigeriaDecides2023 #CTVTweets",retweet,The woman that APC thugs wounded with bottle came back to vote. This is the Hero of this election. ❤️🇳🇬 #NigeriaElections2023 #ObiWon #SOSREX #PeterObiForPresident2023 Labour party casted,retweet,Donald Trump Says he wants to Pass a Bill that Only Recognizes Genders as Male &amp; Female in the U.S. So men Can’t play Women Sports😳🇺🇸,retweet,Trump supporter gets karma after Talking sh*t to a car full of black teens at a BLM protest,retweet,I don’t understand why curable blindness is a thing. Why don’t governments step in and help? Even if you’re thinking purely from a financial standpoint it’s hard to see how they don’t roi on taxes from people being able to work again.,retweet,VOTING IS NOW OPEN! Help us crown the best fanbase in college football 👑 (Sponsored by #HamptonByHilton),retweet,"He saw that new Teanna Trump, give him a break😭",quote,Bill Russell will be remembered as one of the most impactful athletes in American history -1st Black head coach of any North American pro sports team -Received Presidential Medal of Freedom in 2011 -11x NBA champ (2 as coach) -5x league MVP -2x NCAA champ -Olympic gold medalist,retweet,Electrically charged stones discovered in the Democratic Republic of the Congo.,retweet,0,,,,,,,,,,
Q1051rocks,"It's time folks. Today, I voted to bring articles of impeachment against Donald Trump. 95 of my colleagues agreed with me! I won't stop standing up for our country and #13thDistrictStrong.",retweet,"Not only is @IlhanMN a duly elected member of Congress, and an American citizen, but she is also a mom. What kind of person would put her and her family in harms way?",retweet,"As a member of the Generation Good Advocates Community, I’m increasing my voting impact by inviting friends to pledge to vote in the upcoming election. Let’s vote for the generations who need us to stand up for their healthy future at the polls. Join me …",tweet,"COVID-19 is no match for Minnesota’s people power! Make your voice heard in the 2020 election – but safely, by voting from home. Request your absentee ballot with this 2-minute application: #VoteMN #VoteFromHome",tweet,I’d say to my friends in DC going along with Trump. Imagine how this video of the President leading a white mob in a “Send Her Back” chant targeting a black refugee is going to look in your kids high school government/history classes. This hatred has got to be stopped.,retweet,Very well written article. This wasn't a debate it was a debacle. And Trumps personal attacks on people were horrendous..,tweet,"The votes are in: After more than 122,000 votes cast, we’re excited to announce the winners of our Name a Snowplow contest! These eight names will soon be on snowplows across the state. Learn more:",retweet,"Thousands of Minnesotans have taken the step to vote from home during 2020 elections. And you can, too! 1. Visit 2. Complete the ""Request for Absentee Ballot"" application - make sure you have a Minnesota-issued driver's licens…",tweet,Today I'm endorsing @JoeBiden for President of the United States. I encourage all like-minded Republicans to get on the right side of history and do the same.,retweet,#7thGenPartner I’m increasing my voting impact by inviting friends to pledge to vote in the upcoming election. Let’s vote for the generations who need us to stand up for their healthy future at the polls. Join me and #VotefortheNextGen,tweet,0,,,,,,,,,,
RHBrauchler,"Republicans: It’s Joe Biden’s baby formula crisis! Why aren’t Democrats doing more?! ***@HouseDemocrats hold vote to fund more baby formula*** @HouseGOP: NAY!!!!!! ———————————— Hi Republicans, we’re getting shit done to solve problems. What’s your job?",retweet,Not sure why Republicans are acting so shocked by Cawthorn’s alleged revelations about their party. One of their members is being investigated for sex trafficking a minor and they’ve been pretty OK w/ that. They issued more consequences to members who voted to impeach Trump.,retweet,Always pay attention to the story behind the story. Republican operatives are using Kanye West as part of the Trump re-election strategy. They don’t care about him or his mental health. They care about diverting Black voters and creating a new Jill Stein.,retweet,"On behalf of my dad who doesn’t understand Twitter. He voted Republican every election until 2016 when he voted 3rd party in New York. Recently, he moved to swing state, NC and will enthusiastically be voting for Biden. I’m so proud of him ❤️❤️ #LincolnVoter",tweet,"Scientific American has never endorsed a presidential candidate in our 175-year history—until now. The 2020 election is literally a matter of life and death. We urge you to vote for health, science and Joe Biden for President.",retweet,The conservative SCOTUS members have got to be considering that a decision favoring Trump will also benefit any Democratic POTUS going forward. #rachelmaddow #maddow #SCOTUS #TrumpTaxReturns,tweet,I have reasons to believe a higher percentage of Republicans will break for Biden or vote third party than the other way around. Maybe not by a large percentage but it’ll make a difference.,reply,"@JudiciaryGOP This tweet is a stark reminder that the GOP is a brand, not a serious governing party. They like celebrities &amp; the free marketing. But the GOP brand isn't law &amp; order or conservatism. It's what Kanye, Elon, Trump now represent: anti-Semitism, racism, propaganda for war criminals.",retweet,Let’s vote against babies getting baby formula to make Biden look bad” -Republicans,retweet,I’m blocking anyone who isn’t aggressively anti trump untill election is over - sorry no time for your BS,retweet,0,,,,,,,,,,
RMalikAli,"Donald Trump, Hillary Clinton or the Dali Lama? It’s Not The Messenger That Matters to The Markets",tweet,Boomers are considering #retirementdestinations where they can live well. Learn the states that offer lower tax rates by not taxing pension or Social Security income as well as the most affordable counties for #retirement #retirementplanning,tweet,GOP’s Frictions are Impacting Timing and Magnitude of Trump Plans,tweet,U.S. Dollar Plummets – President Trump Says Gains Will Hurt America,tweet,"Considering the rise in social security scams, be aware of smart strategies to keep your personal information out of the hands of criminals who want to exploit the government and seniors. #socialsecurity #socialsecurityscams #avoidscams",tweet,Trump Apes Argentina Strategy: Bad For Vanguard Long-Term Bond ETF (BLV)?,tweet,Breaking Bond News: Long-dated UST Yields Edge Higher on Trump Promise,tweet,President Trump Goes Too Far and Twitter Bites Back (NYSE:TWTR),tweet,"Most seniors who are already taking their social security benefits will be automatically enrolled in Medicare Part A. But, what does Medicare Part A cover and how do you enroll in it? #medicare #healthcare #seniorhealth #seniorliving #babyboomers",tweet,Trump Immigration Ban Blasted by Tesla (TSLA) and Apple (AAPL) CEOs,tweet,0,,,,,,,,,,
RabidBadger,the irony of anti maskers is so... poignant? 'masked' by trumps 'distrust' of masks; intelligence tested &amp; failed on multiple levels; tracked via bluetooth/wifi through facebook/most apps whether you have a profile or not; poisoned with hate in your damn hearts. ugh,quote,"Belarus is protesting over a rigged election, LGBTQ+ people are fighting for rights in Poland, HK is fighting for democracy, &amp; we in the US are dealing a whole slew of things &amp; you want me to care about two mega corps fighting for a cut of your v-bucks? Fuck off.",retweet,"well, if covid &amp; lamewarts legacy has taught me anything about this decade, its that this will be the era when convince &amp; entertainment are proven to truly trump everything else. and god damn, what a bummer.",tweet,does voting mean ill keep getting a shit ton of physical crap mail & annoying phone calls every election season?,tweet,To all our American followers… happy 23rd anniversary of the #Dreamcast’s launch in North America!,retweet,thats putting it politely. the amount of issues that have entirely null &amp; voided that purchase is legitimately insane. they should actually be mouth against base while cupping your balls at this point. jesus fuck.,reply,"hahaha, I don't know how ive gone so long without seeing that. God has plenty of accidents. Just talk to a republican. Zing!",reply,"So many reasons to feel hopeful again; it’s a real nice change of pace. Self doubt &amp; big sad will always get in the way, but it’s a real relief to know that that’s what it is; self doubt &amp; big sad. Not reality. Most’ve the time at least 🙃😀🥰",tweet,bullshit. your eleven year old sister would blame obama.,reply,this is the second time I've ever voted &amp; still no fucking sticker. God dammit.,tweet,0,,,,,,,,,,
RadioFreeTom,"Donald Trump knows he’s losing, and is looking for any excuse to falsely claim election fraud. The best way to make it impossible for Trump to play these dangerous games is to help Joe Biden win in a landslide. VOTE. Make sure your friends and family vote.",retweet,The moral consequence of electing Trump as President is something that we as Americans are going to have to reckon with for a long time.,retweet,Trump's constant comparison of his handling of COVID-19 to Obama's handling of H1N1 in 2009 is baffling to me. Every voting age adult alive today remembers 2009. They know it was nowhere near as bad. Is anyone fooled by this?,tweet,"I just need to note now that the #AlabamaSenateElection has been called, if a major US Mayor, a Democrat, like of San Francisco had died as he did today, President GWBush would have issued a statement expressing condolences. Trump did not offer such today.",retweet,Democrats cheering ex-Republican billionaire Michael Bloomberg as he mocks Trump as a bad entrepreneur. It's that kind of year,retweet,"In other countries, Trump's threats against Clinton would be early warning indicators of political instability or electoral violence.",retweet,"The party of Lincoln once stood on granite-solid ground — promoting free minds, free markets and free people — but no longer. The GOP is now a party of misinformation and false grievances, of protectionism and nativism, of election subversion and anti-democratic sentiment.",retweet,"Okay, repeat after me: ""I prefer some of the Democratic candidates to others, but every single one of them is a thousand times better than Donald Trump, &amp; whichever Democratic candidate becomes the nominee, I will bust my butt to help that candidate get elected."" Thanks.",retweet,"One of many ironies here is that this speech is a million miles away from Trump's dark ""American Carnage"" speech four years ago. And yet there is ACTUAL American carnage right now. Nearly half a million dead. The Capitol ransacked. Yet this speech could not be more different.",retweet,"WASHINGTON (AP) — Democrat Mikulski is 34th senator to support #Iran nuke deal, ensuring landmark Obama victory",retweet,0,,,,,,,,,,
Rawnzilla,Here’s how Dems can + must do more than wait for an election. Let’s start w/ why: - 7 of the 9 justices were appointed by a party that hasn’t won a popular vote more than once in 30 years - 1 of those seats was stolen - Several lied to Congress to secure their appointment…,retweet,"Dear followers, mutuals, whatever. If you're voting or have voted for Trump for this year's general election please let me know so I can block you. Of you voted for him in 2016 that's not great but okay, sure. BUT. If you're still voting for him NOW, get the fuck out.",tweet,"In other news, America's billionaires could give everybody in the country a $3,000 stimulus check and still be richer than they were before the pandemic. It's past time for a wealth tax.",retweet,"The purpose of Pride is to find safety in numbers and put pressure on social/political barriers with visibility and protest. The reason it isn't ""family-friendly"" is because you believed we did not belong in your families. ""Family-friendly"" has become an anti-gay dog whistle.",retweet,Remember when Ted Cruz blamed Obama’s rhetoric when a Black man killed a cop? Does the fact that Republicans encouraged the Great White Riot mean they are responsible for an officer’s death and why do you want #TedCruzKilledaCop to trend?,retweet,"If you haven’t been paying attention to the state of anti-trans legislature in the US, PLEASE start now. There are people in positions of power who want to put our right to exist on trial. This is not the start and it is not the end.",retweet,"The American people can't afford to wait any longer. Every working class American needs $2,000 a month. Every unemployed American needs $600 a week. Every American needs healthcare as a human right. No one in America should go hungry or homeless. The do-nothing Senate must act.",retweet,"There are already calls for ""forgiveness"" and ""healing"" and ""reaching out"" now that Joe Biden is elected. I understand the impulse behind these statements, but they are FUNDAMENTALLY immoral Thread",retweet,Earlier this year the NYPD endorsed Trump. Earlier today the NYPD stole PPE from people voting. And tonight they’re blasting Trump 2020 from their work vehicle. Disgusting and unacceptable.,retweet,"After eight months of this pandemic, we finally found President Trump's plan to beat COVID-19.",retweet,0,,,,,,,,,,
RegentTheaterLA,Member when the government made Microsoft give money to a failing company like Apple so it wouldnt be a monopoly? LMK how APPL is doing. No one put money into it and we have no more Apple Computers right????,reply,Being in crypto for quite some time and holding XRP I have been follwing the SEC v Ripple lawsuit. Judge Sarah Netburn is actually holding up US law while almost mocking the SEC. She is a true American hero and I think we will get clarity on all crypto soon.,tweet,"Oxford Demographics According to the most recent ACS, the racial composition of Oxfordwas: White: 96.19%Two or more races: 2.03%Asian: 1.21%Black or African American: 0.56%Native American: 0.00%Native Hawaiian or Pacific Islander: 0.00%Other race: 0.00%",reply,This is what is amazing with . Even their socials make sure cast members are recognized. And the cast members are what make Epcot (center) authentic. Thanks,quote,"so like i understsnd telling people in the heat, drunk people, people 3 hrs into a show but for fans to yell at the artist every slow part, between songs, and while they are sipping water to STAY HYDRATED I needed to know if this was a thing.",reply,"I belueve Dave Grohl played drums in a little known band called Nirvana before he started fighting foo. They should see if he can. Ending my sarcasm. But it WOULD be cool to see Dave drum on the next tour, use a headset to sing, and get someone to play guitar.",reply,"Total bull shit. Those of us that trusted get no vote and basically, if this goes through, lose most of our FLR. Class action lawsuit if this passes 100%.",reply,again so Tebow should quit while a ton of others are just as bad? Use BP and you can check equally as bad players who have done this for decades. Braxton Davidson was a 1st rounder and sub 200 in like A+. Pick a real fight next time.,reply,"In Los Angeles half our restaurants are tip free now and you get yelled at tipping. I also waited tables here 15 plus years ago and only Americans tip. Any tourist never tipped as it is only here we tip. So dont say everybody, say USA natives.",reply,Its not until you look into her stoner ass glazed eyes that you realize she would be on social security if she was a human. But honestly she has taught me how to be caring and a better person.,reply,0,,,,,,,,,,
RickMyres,"Thank God there are NO elections or politics in Heaven. Jesus is not a Republican nor a Democrat. The government shall be upon his shoulder: His name shall be called Wonderful, Counselor, The mighty God. King of Kings &amp; Lord of Lords. We owe our ultimate allegiance to Him alone.",retweet,"Thank God there are NO elections or politics in Heaven. Jesus is not a Republican nor a Democrat. The government shall be upon his shoulder: His name shall be called Wonderful, Counselor, The mighty God. King of Kings &amp; Lord of Lords. We owe our ultimate allegiance to Him alone.",retweet,We are citizens of heaven governed by God Almighty so we fear not but praise Jesus Christ in every situation because no matter what our redeemer is coming back !amen,retweet,"2 in the Down the Lane series ""If Chris is put on the shelf, you need to step up and lead the war against the Knights MC."" ""Flash, we'll be breaking the biggest rule. I'm not even a member."" ""What rules? We're fucking gangsters. We broke every rule to get here.""",retweet,Pakistani student Adil Rahoo has become the first-ever international and Pakistani student to have been elected as the president of Glasgow Caledonian University,retweet,"Both coward morons are now behind the bars, they are nasty scars on the face of humanity particularly Pashtuns, they beat up their mother &amp; sister with helmet &amp; hammer brutally when they demanded their due rights. This is sad state of woman in our society.",retweet,"Two weeks before the pandemic started, the government (NIAID) and MODERNA signed a confidential agreement regarding COVID VACCINES, how did they know!!?? Anthony Fauci has to answer some questions! #vaccine #vaccineinjury #vaccinedeaths",retweet,"Those who are born again from incorruptible seed being are new creatures in Christ, dead to sin. We are the righteousness of God through Christ. God does not see us as sinners, rather as joint heirs with Jesus Christ...his children holy temples for his Spirit.",reply,"It's not much to ask for. I want solid healthcare, some nice roads and infrastructure, world class education, good social services, and a safety net for those less fortunate. You know, all the stuff that we pay taxes for. Not subsidies and tax breaks for the rich.",retweet,"Lord we pray for those who are set against us as foes to do us harm in any way🇺🇸🌏🕊🙋🏼‍♀️we seek Your counsel🙏Your Mighty Right hand 😎🤓show us the way! Isaiah 🎺🙏TPT 32:18 My people will live free from worry in secure, quiet homes of peace.",retweet,0,,,,,,,,,,
